Date,UMCSENT,CPIAUCSL,A191RL1Q225SBEA,FEDFUNDS,M2SL,PPIACO,UNRATE
1959-01-31,0.7306451612903226,0.1964022377562194,0.5687203791469194,0.1275590551181102,0.2780490415407666,0.4226235421243966,0.2280701754385964
1959-02-28,0.7306451612903226,0.1815026702105174,0.5760926803580833,0.1249343832020997,0.2780490415407666,0.4226235421243966,0.2192982456140351
1959-03-31,0.7306451612903226,0.1392747483400267,0.583464981569247,0.1443569553805774,0.2780490415407666,0.4065492985733022,0.1929824561403508
1959-04-30,0.7306451612903226,0.1266976909940382,0.5908372827804107,0.152755905511811,0.2780490415407666,0.4225726742650578,0.1578947368421052
1959-05-31,0.7306451612903226,0.1392241277090344,0.5434439178515008,0.1496062992125984,0.2780490415407666,0.4145357129559437,0.1491228070175438
1959-06-30,0.7266129032258064,0.1601448513129439,0.4960505529225908,0.1753280839895013,0.2780490415407666,0.41456098641918,0.1403508771929824
1959-07-31,0.7225806451612904,0.1727219036111279,0.4486571879936809,0.1795275590551181,0.2780490415407666,0.41456098641918,0.1491228070175438
1959-08-31,0.7185483870967742,0.1684524800440238,0.4528699315429173,0.1811023622047244,0.2780490415407666,0.4065492985733022,0.1578947368421052
1959-09-30,0.7145161290322579,0.1894035340031761,0.4570826750921538,0.1947506561679789,0.2780490415407666,0.41456098641918,0.1842105263157894
1959-10-31,0.7104838709677419,0.2103025930676279,0.4612954186413902,0.2062992125984252,0.2780490415407666,0.4145864203488494,0.2017543859649123
1959-11-30,0.7064516129032257,0.2018274651430452,0.5044760400210637,0.2073490813648293,0.2780490415407666,0.3985376107274243,0.2105263157894736
1959-12-31,0.7397849462365591,0.21011214254664,0.5476566614007372,0.2068241469816273,0.2780490415407666,0.3985376107274243,0.1666666666666666
1960-01-31,0.7731182795698925,0.1933239986508408,0.5908372827804107,0.2068241469816273,0.2780490415407666,0.3985628841906606,0.1578947368421052
1960-02-29,0.8064516129032258,0.203766952838127,0.5308056872037914,0.2057742782152231,0.2675584177073699,0.3985628841906606,0.1228070175438596
1960-03-31,0.7704301075268818,0.21011214254664,0.4707740916271722,0.1989501312335957,0.2603124931869515,0.4145357129559437,0.1754385964912281
1960-04-30,0.7344086021505376,0.2350987713585895,0.4107424960505529,0.2031496062992125,0.2588647852380072,0.4065492985733022,0.1578947368421052
1960-05-31,0.6983870967741934,0.2286158973380518,0.4323328067403896,0.1994750656167979,0.2438566729518922,0.3985879987012978,0.1491228070175438
1960-06-30,0.7193548387096773,0.2221240944951528,0.4539231174302264,0.1716535433070866,0.2378094701618264,0.4065492985733022,0.1754385964912281
1960-07-31,0.7403225806451614,0.2012546985429837,0.4755134281200632,0.1669291338582677,0.2450547163702671,0.4065492985733022,0.1842105263157894
1960-08-31,0.7612903225806451,0.2073811653114973,0.4386519220642443,0.1538057742782152,0.2619139561218485,0.4065492985733022,0.1929824561403508
1960-09-30,0.7231182795698925,0.192708800575216,0.4017904160084254,0.1338582677165354,0.2747233754282459,0.3985628841906606,0.1842105263157894
1960-10-31,0.6849462365591399,0.2006897379613214,0.3649289099526066,0.1270341207349081,0.2888186827915763,0.41456098641918,0.2368421052631578
1960-11-30,0.646774193548387,0.2068654633196172,0.4054765666140074,0.1254593175853018,0.2971400592686261,0.4226235421243966,0.2368421052631578
1960-12-31,0.6548387096774193,0.2005217481521869,0.4460242232754081,0.1013123359580052,0.3053752697362644,0.4226235421243966,0.2807017543859648
1961-01-31,0.6629032258064516,0.2150338781789498,0.4865718799368088,0.0734908136482939,0.3190955688533416,0.4225726742650578,0.2807017543859648
1961-02-28,0.6709677419354838,0.2066848742747974,0.5092153765139547,0.1307086614173228,0.34254016249177,0.4225726742650578,0.3070175438596491
1961-03-31,0.6758064516129032,0.2066848742747974,0.5318588730911006,0.1034120734908136,0.3515660346595413,0.4065492985733022,0.3070175438596491
1961-04-30,0.6806451612903226,0.1735707634275723,0.5545023696682464,0.0755905511811023,0.3595435836391045,0.3906266988292935,0.3157894736842104
1961-05-31,0.685483870967742,0.1735147363424411,0.5592417061611374,0.1013123359580052,0.3749124117291932,0.3905764698080191,0.3245614035087719
1961-06-30,0.721505376344086,0.1652782135748752,0.5639810426540284,0.0881889763779527,0.381264129872498,0.3746036410427361,0.3070175438596491
1961-07-31,0.7575268817204301,0.1939984980215101,0.5687203791469194,0.0587926509186351,0.3746337396933976,0.3905764698080191,0.3157894736842104
1961-08-31,0.7935483870967743,0.1856832050491508,0.5697735650342285,0.1023622047244094,0.3642430141513751,0.3985376107274243,0.2807017543859648
1961-09-30,0.7602150537634409,0.1938452016388606,0.5708267509215377,0.0960629921259842,0.3673392536202655,0.3985376107274243,0.2894736842105262
1961-10-31,0.7268817204301075,0.1650573595495067,0.5718799368088467,0.116010498687664,0.3717244821026303,0.3905764698080191,0.2719298245614035
1961-11-30,0.6935483870967742,0.1589237511526982,0.5676671932596103,0.1343832020997375,0.3799704557270549,0.3905764698080191,0.2368421052631578
1961-12-31,0.7306451612903226,0.1588829155089865,0.5634544497103738,0.1196850393700787,0.3849972636447178,0.3985628841906606,0.2280701754385964
1962-01-31,0.767741935483871,0.1588421619744759,0.5592417061611374,0.1102362204724409,0.3867704240678553,0.3985879987012978,0.2105263157894736
1962-02-28,0.8048387096774194,0.1730155620511294,0.5402843601895735,0.1217847769028871,0.3869844969643238,0.3985879987012978,0.1842105263157894
1962-03-31,0.7806451612903227,0.1851641906882595,0.5213270142180095,0.1469816272965879,0.3976839319837119,0.3985879987012978,0.1929824561403508
