,UMCSENT,CPIAUCSL,A191RL1Q225SBEA,FEDFUNDS,M2SL,PPIACO,UNRATE
UMCSENT,1.0,-0.5448862604909245,0.32726672025140585,-0.13631841162464095,-0.010428991279945402,-0.42115385191938204,-0.39743803419275364
CPIAUCSL,-0.5448862604909245,1.0,-0.19456544911893908,0.7033744787095146,0.07628213154086215,0.7461221479157043,0.06512644153279429
A191RL1Q225SBEA,0.32726672025140585,-0.19456544911893908,1.0,-0.07505837485036217,0.22559942603436206,-0.12189195105245483,-0.013360933212050615
FEDFUNDS,-0.13631841162464095,0.7033744787095146,-0.07505837485036217,1.0,0.016476525977281102,0.30872714838606813,0.04891967712003435
M2SL,-0.010428991279945402,0.07628213154086215,0.22559942603436206,0.016476525977281102,1.0,0.09488382874920684,0.3126038946067443
PPIACO,-0.42115385191938204,0.7461221479157043,-0.12189195105245483,0.30872714838606813,0.09488382874920684,1.0,-0.06053769173884914
UNRATE,-0.39743803419275364,0.06512644153279429,-0.013360933212050615,0.04891967712003435,0.3126038946067443,-0.06053769173884914,1.0
