Date,Unemployment_Rate,Interest_Rate,Money_Supply,PPI,CPI,GDP_Growth,Consumer_Confidence,Interest_Rate_Lagged,Money_Supply_Lagged,PPI_Lagged,CPI_Lagged
1960-01-31,0.1578947368421052,0.2068241469816273,0.2780808992903002,0.3985628841906606,0.1933239986508408,0.5908372827804107,0.7731182795698925,0.1275590551181102,0.2780808992903002,0.4226235421243966,0.1964022377562194
1960-02-29,0.1228070175438596,0.2057742782152231,0.2675907383798522,0.3985628841906606,0.203766952838127,0.5308056872037914,0.8064516129032258,0.1249343832020997,0.2780808992903002,0.4226235421243966,0.1815026702105174
1960-03-31,0.1754385964912281,0.1989501312335957,0.2603451336025491,0.4145357129559437,0.21011214254664,0.4707740916271722,0.7704301075268818,0.1443569553805774,0.2780808992903002,0.4065492985733022,0.1392747483400267
1960-04-30,0.1578947368421052,0.2031496062992125,0.2588974895370538,0.4065492985733022,0.2350987713585895,0.4107424960505529,0.7344086021505376,0.152755905511811,0.2780808992903002,0.4225726742650578,0.1266976909940382
1960-05-31,0.1491228070175438,0.1994750656167979,0.2438900395184746,0.3985879987012978,0.2286158973380518,0.4323328067403896,0.6983870967741934,0.1496062992125984,0.2780808992903002,0.4145357129559437,0.1392241277090344
1960-06-30,0.1754385964912281,0.1716535433070866,0.2378431035751656,0.4065492985733022,0.2221240944951528,0.4539231174302264,0.7193548387096773,0.1753280839895013,0.2780808992903002,0.41456098641918,0.1601448513129439
1960-07-31,0.1842105263157894,0.1669291338582677,0.2450880300704231,0.4065492985733022,0.2012546985429837,0.4755134281200632,0.7403225806451614,0.1795275590551181,0.2780808992903002,0.41456098641918,0.1727219036111279
1960-08-31,0.1929824561403508,0.1538057742782152,0.261946525869204,0.4065492985733022,0.2073811653114973,0.4386519220642443,0.7612903225806451,0.1811023622047244,0.2780808992903002,0.4065492985733022,0.1684524800440238
1960-09-30,0.1842105263157894,0.1338582677165354,0.2747553799304596,0.3985628841906606,0.192708800575216,0.4017904160084254,0.7231182795698925,0.1947506561679789,0.2780808992903002,0.41456098641918,0.1894035340031761
1960-10-31,0.2368421052631578,0.1270341207349081,0.2888500653058747,0.41456098641918,0.2006897379613214,0.3649289099526066,0.6849462365591399,0.2062992125984252,0.2780808992903002,0.4145864203488494,0.2103025930676279
1960-11-30,0.2368421052631578,0.1254593175853018,0.2971710745830136,0.4226235421243966,0.2068654633196172,0.4054765666140074,0.646774193548387,0.2073490813648293,0.2780808992903002,0.3985376107274243,0.2018274651430452
1960-12-31,0.2807017543859648,0.1013123359580052,0.3054059216530148,0.4226235421243966,0.2005217481521869,0.4460242232754081,0.6548387096774193,0.2068241469816273,0.2780808992903002,0.3985376107274243,0.21011214254664
1961-01-31,0.2807017543859648,0.0734908136482939,0.3191256153302797,0.4225726742650578,0.2150338781789498,0.4865718799368088,0.6629032258064516,0.2068241469816273,0.2780808992903002,0.3985628841906606,0.1933239986508408
1961-02-28,0.3070175438596491,0.1307086614173228,0.3425691744219937,0.4225726742650578,0.2066848742747974,0.5092153765139547,0.6709677419354838,0.2057742782152231,0.2675907383798522,0.3985628841906606,0.203766952838127
1961-03-31,0.3070175438596491,0.1034120734908136,0.3515946483023585,0.4065492985733022,0.2066848742747974,0.5318588730911006,0.6758064516129032,0.1989501312335957,0.2603451336025491,0.4145357129559437,0.21011214254664
1961-04-30,0.3157894736842104,0.0755905511811023,0.3595718452541915,0.3906266988292935,0.1735707634275723,0.5545023696682464,0.6806451612903226,0.2031496062992125,0.2588974895370538,0.4065492985733022,0.2350987713585895
1961-05-31,0.3245614035087719,0.1013123359580052,0.3749399951593285,0.3905764698080191,0.1735147363424411,0.5592417061611374,0.685483870967742,0.1994750656167979,0.2438900395184746,0.3985879987012978,0.2286158973380518
1961-06-30,0.3070175438596491,0.0881889763779527,0.3812914330184347,0.3746036410427361,0.1652782135748752,0.5639810426540284,0.721505376344086,0.1716535433070866,0.2378431035751656,0.4065492985733022,0.2221240944951528
1961-07-31,0.3157894736842104,0.0587926509186351,0.3746613354205785,0.3905764698080191,0.1939984980215101,0.5687203791469194,0.7575268817204301,0.1669291338582677,0.2450880300704231,0.4065492985733022,0.2012546985429837
1961-08-31,0.2807017543859648,0.1023622047244094,0.3642710683932625,0.3985376107274243,0.1856832050491508,0.5697735650342285,0.7935483870967743,0.1538057742782152,0.261946525869204,0.4065492985733022,0.2073811653114973
1961-09-30,0.2894736842105262,0.0960629921259842,0.3673671712334521,0.3985376107274243,0.1938452016388606,0.5708267509215377,0.7602150537634409,0.1338582677165354,0.2747553799304596,0.3985628841906606,0.192708800575216
1961-10-31,0.2719298245614035,0.116010498687664,0.3717522062075058,0.3905764698080191,0.1650573595495067,0.5718799368088467,0.7268817204301075,0.1270341207349081,0.2888500653058747,0.41456098641918,0.2006897379613214
1961-11-30,0.2368421052631578,0.1343832020997375,0.3799978159593442,0.3905764698080191,0.1589237511526982,0.5676671932596103,0.6935483870967742,0.1254593175853018,0.2971710745830136,0.4226235421243966,0.2068654633196172
1961-12-31,0.2280701754385964,0.1196850393700787,0.3850244020575252,0.3985628841906606,0.1588829155089865,0.5634544497103738,0.7306451612903226,0.1013123359580052,0.3054059216530148,0.4226235421243966,0.2005217481521869
1962-01-31,0.2105263157894736,0.1102362204724409,0.3867974842358733,0.3985879987012978,0.1588421619744759,0.5592417061611374,0.767741935483871,0.0734908136482939,0.3191256153302797,0.4225726742650578,0.2150338781789498
