,CPIAUCSL
1959-01-31,0.19640223775621946
1959-02-28,0.18150267021051741
1959-03-31,0.13927474834002673
1959-04-30,0.12669769099403821
1959-05-31,0.13922412770903445
1959-06-30,0.1601448513129439
1959-07-31,0.17272190361112794
1959-08-31,0.16845248004402383
1959-09-30,0.18940353400317617
1959-10-31,0.21030259306762794
1959-11-30,0.20182746514304525
1959-12-31,0.21011214254664007
1960-01-31,0.19332399865084088
1960-02-29,0.203766952838127
1960-03-31,0.21011214254664007
1960-04-30,0.23509877135858956
1960-05-31,0.22861589733805182
1960-06-30,0.22212409449515286
1960-07-31,0.20125469854298372
1960-08-31,0.20738116531149736
1960-09-30,0.19270880057521605
1960-10-31,0.2006897379613214
1960-11-30,0.20686546331961725
1960-12-31,0.20052174815218693
1961-01-31,0.21503387817894987
1961-02-28,0.20668487427479743
1961-03-31,0.20668487427479743
1961-04-30,0.17357076342757238
1961-05-31,0.1735147363424411
1961-06-30,0.16527821357487524
1961-07-31,0.1939984980215101
1961-08-31,0.18568320504915087
1961-09-30,0.1938452016388606
1961-10-31,0.1650573595495067
1961-11-30,0.15892375115269824
1961-12-31,0.15888291550898653
1962-01-31,0.15884216197447598
1962-02-28,0.1730155620511294
1962-03-31,0.18516419068825957
1962-04-30,0.19941909783393005
1962-05-31,0.19933759076491164
1962-06-30,0.1932632764463459
1962-07-31,0.178927461548342
1962-08-31,0.18695902816337298
1962-09-30,0.20702064610046894
1962-10-31,0.19895938128988416
1962-11-30,0.19895938128988416
1962-12-31,0.19283889082973213
1963-01-31,0.1987983706744932
1963-02-28,0.19259149077112855
1963-03-31,0.18643596459541603
1963-04-30,0.17234600009545709
1963-05-31,0.17229242939415795
1963-06-30,0.19834564712687952
1963-07-31,0.21231435226082782
1963-08-31,0.21212815486503486
1963-09-30,0.17793172308081473
1963-10-31,0.19193164598677936
1963-11-30,0.1978979902680834
1963-12-31,0.21778580453909285
1964-01-31,0.2175898011132942
1964-02-29,0.20358376499109965
1964-03-31,0.20349995276710095
1964-04-30,0.21151279120571062
1964-05-31,0.21142118249575792
1964-06-30,0.19730025132233509
1964-07-31,0.1833135931360082
1964-08-31,0.1772922744087529
1964-09-30,0.1891504594598178
1964-10-31,0.19104623402785173
1964-11-30,0.20275299470058325
1964-12-31,0.19074018042974047
1965-01-31,0.18474143621187544
1965-02-28,0.19066991826806529
1965-03-31,0.19059979236139019
1965-04-30,0.20228937387803647
1965-05-31,0.2158599348550047
1965-06-30,0.2352493705693918
1965-07-31,0.22742068761016676
1965-08-31,0.21564009832949937
1965-09-30,0.22332214202534728
1965-10-31,0.22124572184189517
1965-11-30,0.22288488463510694
1965-12-31,0.2343515583142739
1966-01-31,0.23424030048965952
1966-02-28,0.2728714895915326
1966-03-31,0.28623139107971823
1966-04-30,0.2916330995951188
1966-05-31,0.2853247712626199
1966-06-30,0.2655241087348281
1966-07-31,0.2847960251002438
1966-08-31,0.32899997480325455
1966-09-30,0.33426600302440085
1966-10-31,0.34742419197201985
1966-11-30,0.3333819241242687
1966-12-31,0.32132482529770556
1967-01-31,0.31165778509883363
1967-02-28,0.2916186950758838
1967-03-31,0.27230486680545135
1967-04-30,0.2718279209144316
1967-05-31,0.2584221112875868
1967-06-30,0.2900133340947958
1967-07-31,0.2952287694477154
1967-08-31,0.27564015674309117
1967-09-30,0.27515987148031573
1967-10-31,0.2746825103287288
1967-11-30,0.3057784951987472
1967-12-31,0.31656275425255626
1968-01-31,0.3387206411062149
1968-02-29,0.338052841385238
1968-03-31,0.3563616837353371
1968-04-30,0.35564260533488057
1968-05-31,0.3738961339618673
1968-06-30,0.37236130272596624
1968-07-31,0.3896903548397105
1968-08-31,0.388880373879544
1968-09-30,0.3880752142346178
1968-10-31,0.40520337297195286
1968-11-30,0.3856882365262057
1968-12-31,0.4026722849738254
1969-01-31,0.40183848570171404
1969-02-28,0.40100956244873726
1969-03-31,0.43541531499043407
1969-04-30,0.45205731904196256
1969-05-31,0.45109004198150543
1969-06-30,0.449172213112355
1969-07-31,0.4472763650898434
1969-08-31,0.4463365661415417
1969-09-30,0.46261556369873635
1969-10-31,0.46066503208109033
1969-11-30,0.4767655961393834
1969-12-31,0.47475200702165626
1970-01-31,0.4906778129087567
1970-02-28,0.506514647813251
1970-03-31,0.48655226077884345
1970-04-30,0.4845235801860365
1970-05-31,0.48351759983712894
1970-06-30,0.4815221306204444
1970-07-31,0.46313009591825643
1970-08-31,0.4621957236615235
1970-09-30,0.4603420902896773
1970-10-31,0.45850833502369565
1970-11-30,0.45669413981388424
1970-12-31,0.45489919335961293
1971-01-31,0.43718145484804727
1971-02-28,0.40379167691000484
1971-03-31,0.386525860035372
1971-04-30,0.3694394282711232
1971-05-31,0.3844415663033658
1971-06-30,0.383069943452236
1971-07-31,0.38238942106080126
1971-08-31,0.3817123885277838
1971-09-30,0.364955630144567
1971-10-31,0.34836899113580205
1971-11-30,0.3319498939352041
1971-12-31,0.3156958127868755
1972-01-31,0.31520120356481374
1972-02-29,0.34548650670031633
1972-03-31,0.32981386232769255
1972-04-30,0.3292865128784573
1972-05-31,0.31324731303994274
1972-06-30,0.2973665250516833
1972-07-31,0.296925589603733
1972-08-31,0.2964868209147401
1972-09-30,0.31085882554170813
1972-10-31,0.31038813582934277
1972-11-30,0.324656127470531
1972-12-31,0.3241541581413664
1973-01-31,0.33831947501169624
1973-02-28,0.35185080953313885
1973-03-31,0.4102268286204135
1973-04-30,0.43864118007976205
1973-05-31,0.45239508279283114
1973-06-30,0.48057203147738126
1973-07-31,0.46525111455435203
