,FEDFUNDS
1959-01-31,0.12755905511811022
1959-02-28,0.12493438320209975
1959-03-31,0.1443569553805774
1959-04-30,0.152755905511811
1959-05-31,0.14960629921259844
1959-06-30,0.17532808398950134
1959-07-31,0.17952755905511814
1959-08-31,0.18110236220472442
1959-09-30,0.19475065616797899
1959-10-31,0.2062992125984252
1959-11-30,0.20734908136482938
1959-12-31,0.20682414698162732
1960-01-31,0.20682414698162732
1960-02-29,0.2057742782152231
1960-03-31,0.19895013123359578
1960-04-30,0.20314960629921258
1960-05-31,0.1994750656167979
1960-06-30,0.1716535433070866
1960-07-31,0.1669291338582677
1960-08-31,0.15380577427821523
1960-09-30,0.13385826771653542
1960-10-31,0.12703412073490816
1960-11-30,0.12545931758530182
1960-12-31,0.10131233595800525
1961-01-31,0.07349081364829396
1961-02-28,0.13070866141732285
1961-03-31,0.10341207349081365
1961-04-30,0.07559055118110236
1961-05-31,0.10131233595800525
1961-06-30,0.08818897637795275
1961-07-31,0.05879265091863516
1961-08-31,0.10236220472440945
1961-09-30,0.09606299212598425
1961-10-31,0.11601049868766403
1961-11-30,0.13438320209973753
1961-12-31,0.11968503937007874
1962-01-31,0.11023622047244094
1962-02-28,0.12178477690288714
1962-03-31,0.14698162729658792
1962-04-30,0.14330708661417324
1962-05-31,0.12125984251968504
1962-06-30,0.13805774278215222
1962-07-31,0.1396325459317585
1962-08-31,0.15118110236220472
1962-09-30,0.14960629921259844
1962-10-31,0.14960629921259844
1962-11-30,0.15170603674540684
1962-12-31,0.15118110236220472
1963-01-31,0.1506561679790026
1963-02-28,0.1548556430446194
1963-03-31,0.15380577427821523
1963-04-30,0.14960629921259844
1963-05-31,0.1548556430446194
1963-06-30,0.15433070866141735
1963-07-31,0.15590551181102363
1963-08-31,0.1805774278215223
1963-09-30,0.1800524934383202
1963-10-31,0.18110236220472442
1963-11-30,0.1800524934383202
1963-12-31,0.17480314960629922
1964-01-31,0.1800524934383202
1964-02-29,0.1800524934383202
1964-03-31,0.17742782152230974
1964-04-30,0.17952755905511814
1964-05-31,0.18110236220472442
1964-06-30,0.18110236220472442
1964-07-31,0.17690288713910762
1964-08-31,0.18110236220472442
1964-09-30,0.1784776902887139
1964-10-31,0.173753280839895
1964-11-30,0.1821522309711286
1964-12-31,0.1994750656167979
1965-01-31,0.2020997375328084
1965-02-28,0.2062992125984252
1965-03-31,0.2099737532808399
1965-04-30,0.2120734908136483
1965-05-31,0.21259842519685035
1965-06-30,0.2099737532808399
1965-07-31,0.2120734908136483
1965-08-31,0.21364829396325458
1965-09-30,0.20839895013123355
1965-10-31,0.21154855643044618
1965-11-30,0.21259842519685035
1965-12-31,0.22414698162729663
1966-01-31,0.2293963254593176
1966-02-28,0.23884514435695536
1966-03-31,0.241994750656168
1966-04-30,0.24251968503937005
1966-05-31,0.2545931758530184
1966-06-30,0.26876640419947506
1966-07-31,0.2755905511811023
1966-08-31,0.28766404199475065
1966-09-30,0.28083989501312334
1966-10-31,0.28766404199475065
1966-11-30,0.29973753280839893
1966-12-31,0.28083989501312334
1967-01-31,0.2566929133858268
1967-02-28,0.25984251968503935
1967-03-31,0.23517060367454068
1967-04-30,0.2099737532808399
1967-05-31,0.2041994750656168
1967-06-30,0.2062992125984252
1967-07-31,0.19632545931758533
1967-08-31,0.2020997375328084
1967-09-30,0.20682414698162732
1967-10-31,0.20104986876640418
1967-11-30,0.2141732283464567
1967-12-31,0.23412073490813645
1968-01-31,0.23937007874015748
1968-02-29,0.24461942257217845
1968-03-31,0.26246719160104987
1968-04-30,0.29973753280839893
1968-05-31,0.3186351706036745
1968-06-30,0.31601049868766407
1968-07-31,0.3139107611548556
1968-08-31,0.3139107611548556
1968-09-30,0.30078740157480316
1968-10-31,0.3076115485564304
1968-11-30,0.30288713910761156
1968-12-31,0.3133858267716535
1969-01-31,0.3280839895013123
1969-02-28,0.3443569553805774
1969-03-31,0.3538057742782152
1969-04-30,0.3863517060367454
1969-05-31,0.45249343832020994
1969-06-30,0.4645669291338583
1969-07-31,0.4493438320209973
1969-08-31,0.4797900262467191
1969-09-30,0.4776902887139108
1969-10-31,0.46981627296587924
1969-11-30,0.4619422572178477
1969-12-31,0.46824146981627296
1970-01-31,0.4687664041994751
1970-02-28,0.4687664041994751
1970-03-31,0.4047244094488189
1970-04-30,0.42257217847769024
1970-05-31,0.41469816272965876
1970-06-30,0.3968503937007874
1970-07-31,0.3758530183727034
1970-08-31,0.34488188976377954
1970-09-30,0.32755905511811023
1970-10-31,0.3228346456692913
1970-11-30,0.29133858267716534
1970-12-31,0.2545931758530184
1971-01-31,0.21469816272965875
1971-02-28,0.1926509186351706
1971-03-31,0.19212598425196847
1971-04-30,0.21574803149606298
1971-05-31,0.24041994750656165
1971-06-30,0.25511811023622044
1971-07-31,0.27611548556430443
1971-08-31,0.28976377952755905
1971-09-30,0.2887139107611548
1971-10-31,0.27034120734908135
1971-11-30,0.25511811023622044
1971-12-31,0.21469816272965875
1972-01-31,0.18162729658792648
1972-02-29,0.17060367454068243
1972-03-31,0.19842519685039373
1972-04-30,0.2162729658792651
1972-05-31,0.22152230971128606
1972-06-30,0.231496062992126
1972-07-31,0.23622047244094485
1972-08-31,0.24986876640419942
1972-09-30,0.25301837270341204
1972-10-31,0.26246719160104987
1972-11-30,0.2629921259842519
1972-12-31,0.27716535433070866
1973-01-31,0.30918635170603675
1973-02-28,0.34278215223097114
1973-03-31,0.3695538057742782
1973-04-30,0.3711286089238845
1973-05-31,0.4089238845144357
1973-06-30,0.4430446194225722
