Date,M2SL
1959-01-31,0.2780490415407666
1959-02-28,0.2780490415407666
1959-03-31,0.2780490415407666
1959-04-30,0.2780490415407666
1959-05-31,0.2780490415407666
1959-06-30,0.2780490415407666
1959-07-31,0.2780490415407666
1959-08-31,0.2780490415407666
1959-09-30,0.2780490415407666
1959-10-31,0.2780490415407666
1959-11-30,0.2780490415407666
1959-12-31,0.2780490415407666
1960-01-31,0.2780490415407666
1960-02-29,0.2675584177073699
1960-03-31,0.2603124931869515
1960-04-30,0.2588647852380072
1960-05-31,0.24385667295189226
1960-06-30,0.23780947016182646
1960-07-31,0.2450547163702671
1960-08-31,0.2619139561218485
1960-09-30,0.2747233754282459
1960-10-31,0.2888186827915763
1960-11-30,0.2971400592686261
1960-12-31,0.3053752697362644
1961-01-31,0.3190955688533416
1961-02-28,0.34254016249177
1961-03-31,0.3515660346595413
1961-04-30,0.35954358363910455
1961-05-31,0.37491241172919326
1961-06-30,0.381264129872498
1961-07-31,0.37463373969339764
1961-08-31,0.3642430141513751
1961-09-30,0.3673392536202655
1961-10-31,0.3717244821026303
1961-11-30,0.3799704557270549
1961-12-31,0.38499726364471787
1962-01-31,0.3867704240678553
1962-02-28,0.38698449696432385
1962-03-31,0.3976839319837119
1962-04-30,0.4044297695806928
1962-05-31,0.39962911409536284
1962-06-30,0.39504833400770883
1962-07-31,0.3960276126320924
1962-08-31,0.39451777114741193
1962-09-30,0.39503996093677174
1962-10-31,0.4006052914989328
1962-11-30,0.4017429106144732
1962-12-31,0.40777863465285846
1963-01-31,0.4109774143407565
1963-02-28,0.40991202791288095
1963-03-31,0.405765496129
1963-04-30,0.4058296521312735
1963-05-31,0.41170624109576903
1963-06-30,0.414925053189988
1963-07-31,0.4247175275576895
1963-08-31,0.42768155918710055
1963-09-30,0.42873199591233946
1963-10-31,0.42692897866014723
1963-11-30,0.43024721731422605
1963-12-31,0.41742406876875265
1964-01-31,0.41120970544069524
1964-02-29,0.4066775969844543
1964-03-31,0.3995571471176446
1964-04-30,0.3918180952990479
1964-05-31,0.38745937260440755
1964-06-30,0.39107498143641495
1964-07-31,0.3918733497509432
1964-08-31,0.3969527250996604
1964-09-30,0.4045154251401138
1964-10-31,0.4021773295915062
1964-11-30,0.3976570073377812
1964-12-31,0.40470743482342086
1965-01-31,0.40988040825403205
1965-02-28,0.412322356606996
1965-03-31,0.4156673345878416
1965-04-30,0.4167911090884015
1965-05-31,0.4088085963628732
1965-06-30,0.4077407336680695
1965-07-31,0.4042875242744697
1965-08-31,0.3991555483871469
1965-09-30,0.398585977279748
1965-10-31,0.4041363728576894
1965-11-30,0.4038955325660506
1965-12-31,0.4082924172745632
1966-01-31,0.4065922648733171
1966-02-28,0.4026274160141041
1966-03-31,0.39951098283857556
1966-04-30,0.3975098511351052
1966-05-31,0.38996275451730916
1966-06-30,0.3745229551177096
1966-07-31,0.3507295727202338
1966-08-31,0.34081401684737445
1966-09-30,0.33283481797716014
1966-10-31,0.3118052786564437
1966-11-30,0.30017762701933226
1966-12-31,0.29484797918738803
1967-01-31,0.28427921154596786
1967-02-28,0.2897105938483515
1967-03-31,0.30260500736225615
1967-04-30,0.30395906820312457
1967-05-31,0.3329234328820263
1967-06-30,0.3575848439097652
1967-07-31,0.38893254398102184
1967-08-31,0.4070003201295154
1967-09-30,0.41287279402616756
1967-10-31,0.43420162331603734
1967-11-30,0.4426173414221518
1967-12-31,0.4455004835445591
1968-01-31,0.45259976791596257
1968-02-29,0.4471136641729218
1968-03-31,0.43256515992198674
1968-04-30,0.43183015454475543
1968-05-31,0.41671511325802363
1968-06-30,0.40715063289564485
1968-07-31,0.3967510124886075
1968-08-31,0.3901868789325466
1968-09-30,0.39021969509659954
1968-10-31,0.3916717403441783
1968-11-30,0.40130892922370703
1968-12-31,0.40444728049681306
1969-01-31,0.4025806796629835
1969-02-28,0.3987349656472684
1969-03-31,0.3956241576157053
1969-04-30,0.3873139360882689
1969-05-31,0.3716662404280452
1969-06-30,0.3601344565468233
1969-07-31,0.34725851506282346
1969-08-31,0.3272733777837424
1969-09-30,0.31322011640110714
1969-10-31,0.2965671839138103
1969-11-30,0.27939633120761787
1969-12-31,0.2676703087991721
1970-01-31,0.26265760961959034
1970-02-28,0.2291739979026687
1970-03-31,0.22047920537408527
1970-04-30,0.21920705248204445
1970-05-31,0.23185768979648452
1970-06-30,0.24096044564123997
1970-07-31,0.25679219341434356
1970-08-31,0.2853241401906522
1970-09-30,0.3084595559313542
1970-10-31,0.32946487654989004
1970-11-30,0.34358540678709737
1970-12-31,0.3585191848604927
1971-01-31,0.3833866338137144
1971-02-28,0.44683930240188824
1971-03-31,0.48931463284397575
1971-04-30,0.5288651292300515
1971-05-31,0.5549644778082019
1971-06-30,0.5663975981306196
1971-07-31,0.5780796163552739
1971-08-31,0.5744909759620151
1971-09-30,0.5737619428338158
1971-10-31,0.573805029892031
1971-11-30,0.5783054683894517
1971-12-31,0.576132831748325
1972-01-31,0.5768595786129378
1972-02-29,0.570950827815268
1972-03-31,0.5597600829340224
1972-04-30,0.5369814970255717
1972-05-31,0.5158519573610296
1972-06-30,0.5128899717121815
1972-07-31,0.5243994188222161
1972-08-31,0.5365487688526145
1972-09-30,0.5446257100907111
1972-10-31,0.5536345692207911
1972-11-30,0.5536996345990335
1972-12-31,0.562596224593797
1973-01-31,0.5610002099943523
1973-02-28,0.5379616584761404
1973-03-31,0.5050701143015826
1973-04-30,0.5005416047001434
1973-05-31,0.5076800349522914
1973-06-30,0.5050418734526891
1973-07-31,0.47267607237187614
