Date,PPIACO
1959-01-31,0.4226235421243966
1959-02-28,0.4226235421243966
1959-03-31,0.4065492985733022
1959-04-30,0.42257267426505785
1959-05-31,0.4145357129559437
1959-06-30,0.41456098641918004
1959-07-31,0.41456098641918004
1959-08-31,0.4065492985733022
1959-09-30,0.41456098641918004
1959-10-31,0.4145864203488494
1959-11-30,0.39853761072742433
1959-12-31,0.39853761072742433
1960-01-31,0.39856288419066066
1960-02-29,0.39856288419066066
1960-03-31,0.4145357129559437
1960-04-30,0.4065492985733022
1960-05-31,0.39858799870129785
1960-06-30,0.4065492985733022
1960-07-31,0.4065492985733022
1960-08-31,0.4065492985733022
1960-09-30,0.39856288419066066
1960-10-31,0.41456098641918004
1960-11-30,0.4226235421243966
1960-12-31,0.4226235421243966
1961-01-31,0.42257267426505785
1961-02-28,0.42257267426505785
1961-03-31,0.4065492985733022
1961-04-30,0.3906266988292935
1961-05-31,0.39057646980801913
1961-06-30,0.3746036410427361
1961-07-31,0.39057646980801913
1961-08-31,0.39853761072742433
1961-09-30,0.39853761072742433
1961-10-31,0.39057646980801913
1961-11-30,0.39057646980801913
1961-12-31,0.39856288419066066
1962-01-31,0.39858799870129785
1962-02-28,0.39858799870129785
1962-03-31,0.39858799870129785
1962-04-30,0.4065492985733022
1962-05-31,0.4065492985733022
1962-06-30,0.4227262529458096
1962-07-31,0.4145864203488494
1962-08-31,0.4145864203488494
1962-09-30,0.43869778567549106
1962-10-31,0.4226235421243966
1962-11-30,0.4226235421243966
1962-12-31,0.4065492985733022
1963-01-31,0.39856288419066066
1963-02-28,0.39057646980801913
1963-03-31,0.39057646980801913
1963-04-30,0.39052592288154625
1963-05-31,0.4065492985733022
1963-06-30,0.4145864203488494
1963-07-31,0.41456098641918004
1963-08-31,0.4065492985733022
1963-09-30,0.3827402701159602
1963-10-31,0.39856288419066066
1963-11-30,0.4065492985733022
1963-12-31,0.4065492985733022
1964-01-31,0.42257267426505785
1964-02-29,0.4145864203488494
1964-03-31,0.4145864203488494
1964-04-30,0.42267473398283967
1964-05-31,0.4065492985733022
1964-06-30,0.39853761072742433
1964-07-31,0.39856288419066066
1964-08-31,0.4065492985733022
1964-09-30,0.41456098641918004
1964-10-31,0.41456098641918004
1964-11-30,0.4065492985733022
1964-12-31,0.41456098641918004
1965-01-31,0.4065492985733022
1965-02-28,0.4305843621109351
1965-03-31,0.4305843621109351
1965-04-30,0.43859604995681295
1965-05-31,0.45477202922658605
1965-06-30,0.4788833945532271
1965-07-31,0.47064280134032427
1965-08-31,0.47064280134032427
1965-09-30,0.4624541992517935
1965-10-31,0.470440613634435
1965-11-30,0.47842702801707654
1965-12-31,0.4943998567823596
1966-01-31,0.49412359716534965
1966-02-28,0.5097217552217851
1966-03-31,0.5097217552217851
1966-04-30,0.5014877995469542
1966-05-31,0.49330514577663953
1966-06-30,0.47687411410934033
1966-07-31,0.4925018508951272
1966-08-31,0.5003157192880204
1966-09-30,0.5003157192880204
1966-10-31,0.47665773006153733
1966-11-30,0.46091081242324566
1966-12-31,0.4451421851479571
1967-01-31,0.44502488154134745
1967-02-28,0.42180046338834626
1967-03-31,0.41417488098082395
1967-04-30,0.3989237161657799
1967-05-31,0.41417488098082395
1967-06-30,0.421754664094608
1967-07-31,0.4065492985733022
1967-08-31,0.3914796952441509
1967-09-30,0.3914796952441509
1967-10-31,0.4065492985733022
1967-11-30,0.4141519813339551
1967-12-31,0.4369600296159138
1968-01-31,0.4368689795229711
1968-02-29,0.45202881999780614
1968-03-31,0.4673707606585249
1968-04-30,0.4830355027816822
1968-05-31,0.4749734434191778
1968-06-30,0.45945035384220295
1968-07-31,0.4670076474520457
1968-08-31,0.4671886604726411
1968-09-30,0.48234850094747506
1968-10-31,0.48234850094747506
1968-11-30,0.4899284211848928
1968-12-31,0.47416128739726765
1969-01-31,0.48145146896671565
1969-02-28,0.4810108679644014
1969-03-31,0.48821682629257246
1969-04-30,0.4956411469943243
1969-05-31,0.5027832566752494
1969-06-30,0.5175884809986258
1969-07-31,0.5172647516037997
1969-08-31,0.5175884809986258
1969-09-30,0.5095833306377301
1969-10-31,0.5169429043566184
1969-11-30,0.5239611645117316
1969-12-31,0.5309388566890691
1970-01-31,0.530223974171163
1970-02-28,0.5295172617391753
1970-03-31,0.514433958770634
1970-04-30,0.5141283365037858
1970-05-31,0.4992591962377132
1970-06-30,0.49164823502027266
1970-07-31,0.4984822976539336
1970-08-31,0.49164823502027266
1970-09-30,0.4984822976539336
1970-10-31,0.491174146237839
1970-11-30,0.47667930852613816
1970-12-31,0.46234419354404394
1971-01-31,0.46203846809214866
1971-02-28,0.4755327688538847
1971-03-31,0.48243111588194276
1971-04-30,0.48222491529143063
1971-05-31,0.49598411833109063
1971-06-30,0.4957417475458389
1971-07-31,0.4884369543996323
1971-08-31,0.5163246203856549
1971-09-30,0.4884369543996323
1971-10-31,0.4884369543996323
1971-11-30,0.4884369543996323
1971-12-31,0.508908868356215
1972-01-31,0.5083600234780227
1972-02-29,0.5072798035851342
1972-03-31,0.5003157192880204
1972-04-30,0.500068314484023
1972-05-31,0.4995774010146754
1972-06-30,0.5059613414776495
1972-07-31,0.5189221108658755
1972-08-31,0.511762529089557
1972-09-30,0.5321424417238254
1972-10-31,0.5255322762948502
1972-11-30,0.5387526071527999
1972-12-31,0.5705190757298684
1973-01-31,0.5892488193473404
1973-02-28,0.6132181442302309
1973-03-31,0.6778021584980212
1973-04-30,0.6835539154938811
1973-05-31,0.7270168124084138
1973-06-30,0.7764188573623401
