Date,UMCSENT
1959-01-31,0.7306451612903226
1959-02-28,0.7306451612903226
1959-03-31,0.7306451612903226
1959-04-30,0.7306451612903226
1959-05-31,0.7306451612903226
1959-06-30,0.7266129032258064
1959-07-31,0.7225806451612904
1959-08-31,0.7185483870967742
1959-09-30,0.7145161290322579
1959-10-31,0.7104838709677419
1959-11-30,0.7064516129032257
1959-12-31,0.7397849462365591
1960-01-31,0.7731182795698925
1960-02-29,0.8064516129032258
1960-03-31,0.7704301075268818
1960-04-30,0.7344086021505376
1960-05-31,0.6983870967741934
1960-06-30,0.7193548387096773
1960-07-31,0.7403225806451614
1960-08-31,0.7612903225806451
1960-09-30,0.7231182795698925
1960-10-31,0.6849462365591399
1960-11-30,0.646774193548387
1960-12-31,0.6548387096774193
1961-01-31,0.6629032258064516
1961-02-28,0.6709677419354838
1961-03-31,0.6758064516129032
1961-04-30,0.6806451612903226
1961-05-31,0.685483870967742
1961-06-30,0.721505376344086
1961-07-31,0.7575268817204301
1961-08-31,0.7935483870967743
1961-09-30,0.7602150537634409
1961-10-31,0.7268817204301075
1961-11-30,0.6935483870967742
1961-12-31,0.7306451612903226
1962-01-31,0.767741935483871
1962-02-28,0.8048387096774194
1962-03-31,0.7806451612903227
1962-04-30,0.7564516129032259
1962-05-31,0.7322580645161292
1962-06-30,0.7118279569892474
1962-07-31,0.6913978494623656
1962-08-31,0.6709677419354838
1962-09-30,0.689247311827957
1962-10-31,0.7075268817204301
1962-11-30,0.7258064516129032
1962-12-31,0.7440860215053764
1963-01-31,0.7623655913978495
1963-02-28,0.7806451612903227
1963-03-31,0.7446236559139785
1963-04-30,0.7086021505376345
1963-05-31,0.6725806451612903
1963-06-30,0.6978494623655913
1963-07-31,0.7231182795698927
1963-08-31,0.7483870967741937
1963-09-30,0.7376344086021505
1963-10-31,0.7268817204301077
1963-11-30,0.7161290322580647
1963-12-31,0.7435483870967743
1964-01-31,0.7709677419354839
1964-02-29,0.7983870967741935
1964-03-31,0.7930107526881722
1964-04-30,0.7876344086021505
1964-05-31,0.782258064516129
1964-06-30,0.7935483870967743
1964-07-31,0.8048387096774192
1964-08-31,0.8161290322580643
1964-09-30,0.8123655913978494
1964-10-31,0.8086021505376346
1964-11-30,0.8048387096774194
1964-12-31,0.8161290322580648
1965-01-31,0.8274193548387097
1965-02-28,0.8387096774193548
1965-03-31,0.8569892473118281
1965-04-30,0.875268817204301
1965-05-31,0.8935483870967742
1965-06-30,0.8827956989247312
1965-07-31,0.8720430107526884
1965-08-31,0.8612903225806452
1965-09-30,0.8586021505376344
1965-10-31,0.8559139784946239
1965-11-30,0.853225806451613
1965-12-31,0.8376344086021505
1966-01-31,0.8220430107526882
1966-02-28,0.8064516129032258
1966-03-31,0.7833333333333332
1966-04-30,0.7602150537634409
1966-05-31,0.7370967741935484
1966-06-30,0.7129032258064516
1966-07-31,0.6887096774193548
1966-08-31,0.6645161290322581
1966-09-30,0.6489247311827957
1966-10-31,0.6333333333333333
1966-11-30,0.6177419354838709
1966-12-31,0.6489247311827957
1967-01-31,0.6801075268817203
1967-02-28,0.7112903225806451
1967-03-31,0.7209677419354839
1967-04-30,0.7306451612903226
1967-05-31,0.7403225806451614
1967-06-30,0.746236559139785
1967-07-31,0.7521505376344086
1967-08-31,0.7580645161290323
1967-09-30,0.7360215053763441
1967-10-31,0.7139784946236558
1967-11-30,0.6919354838709679
1967-12-31,0.7150537634408605
1968-01-31,0.7381720430107528
1968-02-29,0.7612903225806451
1968-03-31,0.735483870967742
1968-04-30,0.7096774193548387
1968-05-31,0.6838709677419357
1968-06-30,0.6838709677419357
1968-07-31,0.6838709677419357
1968-08-31,0.6838709677419357
1968-09-30,0.6801075268817205
1968-10-31,0.6763440860215055
1968-11-30,0.6725806451612903
1968-12-31,0.7075268817204303
1969-01-31,0.7424731182795699
1969-02-28,0.7774193548387098
1969-03-31,0.7413978494623656
1969-04-30,0.7053763440860215
1969-05-31,0.6693548387096775
1969-06-30,0.6419354838709677
1969-07-31,0.6145161290322583
1969-08-31,0.5870967741935484
1969-09-30,0.5510752688172045
1969-10-31,0.5150537634408603
1969-11-30,0.4790322580645161
1969-12-31,0.47043010752688175
1970-01-31,0.46182795698924717
1970-02-28,0.4532258064516128
1970-03-31,0.43870967741935485
1970-04-30,0.42419354838709666
1970-05-31,0.4096774193548389
1970-06-30,0.42150537634408614
1970-07-31,0.43333333333333335
1970-08-31,0.44516129032258056
1970-09-30,0.4172043010752686
1970-10-31,0.38924731182795713
1970-11-30,0.3612903225806452
1970-12-31,0.39193548387096766
1971-01-31,0.42258064516129035
1971-02-28,0.4532258064516128
1971-03-31,0.46451612903225814
1971-04-30,0.47580645161290325
1971-05-31,0.48709677419354835
1971-06-30,0.49731182795698925
1971-07-31,0.5075268817204301
1971-08-31,0.5177419354838708
1971-09-30,0.5172043010752687
1971-10-31,0.5166666666666666
1971-11-30,0.5161290322580645
1971-12-31,0.5741935483870968
1972-01-31,0.6322580645161291
1972-02-29,0.6903225806451612
1972-03-31,0.6677419354838707
1972-04-30,0.6451612903225807
1972-05-31,0.6225806451612903
1972-06-30,0.6580645161290322
1972-07-31,0.6935483870967742
1972-08-31,0.7290322580645161
1972-09-30,0.7048387096774194
1972-10-31,0.6806451612903226
1972-11-30,0.6564516129032258
1972-12-31,0.6091397849462366
1973-01-31,0.5618279569892475
1973-02-28,0.5145161290322582
1973-03-31,0.4881720430107528
1973-04-30,0.4618279569892474
1973-05-31,0.435483870967742
1973-06-30,0.40860215053763427
1973-07-31,0.381720430107527
